Region Name,Branch Code,Branch Name,Period,Deposits,Savings Bank,Current Deposits,Term Deposits,Advances,Business,Number of Branches
Dindigul Region,1221,Marambadi,20260203,21.871786187,10.762324489,0.161353398,10.9481083,44.938756176,66.810542363,1
Dindigul Region,3166,Thadikombu,20260203,23.398138,14.923585579,0.545526321,7.9290261,43.08818899,66.48632699,1
Dindigul Region,2686,Chinnalapatti,20260203,21.98872048,9.427453041,0.634662839,11.9266046,42.788313156,64.777033636,1
Dindigul Region,1112,Nagayakottai,20260203,24.985607855,12.69157655,1.561381905,10.7326494,29.437380399,54.422988254,1
Dindigul Region,3347,Anaipatti,20260203,8.117172232,4.894848759,0.266340236,2.955983237,45.023192352,53.140364584,1
Dindigul Region,2704,"Timmarasanayakkanur, Subbulapuram",20260203,10.24090063,7.179019229,0.191345701,2.8705357,41.888867726,52.129768356,1
Dindigul Region,1317,N.Paraipatti,20260203,13.88969475,8.58299732,0.143770306,5.162927124,30.299130919,44.188825669,1
Dindigul Region,3436,KODAIKANAL,20260203,14.193172946,7.455531058,1.776653339,4.960988549,26.516654629,40.709827575,1
Dindigul Region,3346,Vangamuthu,20260203,8.206796729,6.22795074,0.098783389,1.8800626,30.327414423,38.534211152,1
Dindigul Region,3920,BALAKRISHNAPURAM,20260203,2.281154032,1.558474539,0.078172893,0.6445066,9.384042271,11.665196303,1
